DATE_OPERATION;COMPTE;MONTANT;SENS
2026-08-03;CPT00003;95,10;DEBIT
2026-08-03;CPT00006;190,20;CREDIT
2026-08-03;CPT00009;285,30;DEBIT
2026-08-03;CPT00012;380,40;CREDIT
2026-08-03;CPT00015;475,50;DEBIT
2026-08-03;CPT00018;570,60;CREDIT
2026-08-03;CPT00021;665,70;DEBIT
2026-08-03;CPT00024;760,80;CREDIT
2026-08-03;CPT00027;855,90;DEBIT
2026-08-03;CPT00030;951,00;CREDIT
2026-08-03;CPT00033;1 046,10;DEBIT
2026-08-03;CPT00036;1 141,20;CREDIT
2026-08-03;CPT00039;1 236,30;DEBIT
2026-08-03;CPT00042;1 331,40;CREDIT
2026-08-03;CPT00045;1 426,50;DEBIT
2026-08-03;CPT00048;1 521,60;CREDIT
2026-08-03;CPT00051;1 616,70;DEBIT
2026-08-03;CPT00054;1 711,80;CREDIT
2026-08-03;CPT00057;1 806,90;DEBIT
2026-08-03;CPT00060;1 902,00;CREDIT
2026-08-03;CPT00063;1 997,10;DEBIT
2026-08-03;CPT00066;2 092,20;CREDIT
2026-08-03;CPT00069;2 187,30;DEBIT
2026-08-03;CPT00072;2 282,40;CREDIT
2026-08-03;CPT00075;2 377,50;DEBIT
2026-08-03;CPT00078;2 472,60;CREDIT
2026-08-03;CPT00081;2 567,70;DEBIT
2026-08-03;CPT00084;2 662,80;CREDIT
2026-08-03;CPT00087;2 757,90;DEBIT
2026-08-03;CPT00090;2 853,00;CREDIT
2026-08-03;CPT00093;2 948,10;DEBIT
2026-08-03;CPT00096;3 043,20;CREDIT
2026-08-03;CPT00099;3 138,30;DEBIT
2026-08-03;CPT00102;3 233,40;CREDIT
2026-08-03;CPT00105;3 328,50;DEBIT
2026-08-03;CPT00108;3 423,60;CREDIT
2026-08-03;CPT00111;3 518,70;DEBIT
2026-08-03;CPT00114;3 613,80;CREDIT
2026-08-03;CPT00117;3 708,90;DEBIT
2026-08-03;CPT00120;3 804,00;CREDIT
2026-08-03;CPT00123;3 899,10;DEBIT
2026-08-03;CPT00126;3 994,20;CREDIT
2026-08-03;CPT00129;4 089,30;DEBIT
2026-08-03;CPT00132;4 184,40;CREDIT
2026-08-03;CPT00135;4 279,50;DEBIT
2026-08-03;CPT00138;4 374,60;CREDIT
2026-08-03;CPT00141;4 469,70;DEBIT
2026-08-03;CPT00144;4 564,80;CREDIT
2026-08-03;CPT00147;4 659,90;DEBIT
2026-08-03;CPT00150;4 755,00;CREDIT
